sample_id,sigma0,ramp,omega,cyc_frac,Y0,a_crit,A_rate,D_c,m_sub,noise_sigma,seed,a0,h,tf,t_fp,a_fp,finite
82,0.6128342752837376,0.0,0.0,0.0,0.8564085354389062,2.0,1.411823624346085,0.12238526022194673,0.5,0.2,1111,1e-06,0.2,6.5,2.1999999999999997,0.05892413691344975,1
83,0.7489930853990661,0.0,0.0,0.0,0.8879776383311987,2.0,1.4034540182952904,0.11896747663715962,0.5,0.2,1111,1e-06,0.2,6.5,1.4,0.16133407494068117,1
84,0.7713973297456601,0.0,0.0,0.0,1.119770801206783,2.0,1.570787034353434,0.11338064404272027,0.5,0.2,1111,1e-06,0.2,6.5,1.0,0.11476732208497926,1
85,0.8648119744223033,0.0,0.0,0.0,1.0423245840238684,2.0,1.6750180293347072,0.12751331826049267,0.5,0.2,1111,1e-06,0.2,6.5,6.000000000000003,0.11848133154004112,1
86,0.6067168815883521,0.0,0.0,0.0,0.9832125854611562,2.0,1.473527754113336,0.11400636386916474,0.5,0.2,1111,1e-06,0.2,6.5,0.4,0.10569259326194395,1
87,0.7759223642190596,0.0,0.0,0.0,0.9737317442315916,2.0,1.5397481338437926,0.1275881604156972,0.5,0.2,1111,1e-06,0.2,6.5,2.1999999999999997,0.06356547153126076,1
88,0.5075976239177042,0.0,0.0,0.0,0.9102194183008884,2.0,1.6611748381173397,0.11914680460687344,0.5,0.2,1111,1e-06,0.2,6.5,2.6,0.11113051409650938,1
89,0.7782041251114769,0.0,0.0,0.0,0.9273218570120597,2.0,1.6746136461417107,0.1161695580406561,0.5,0.2,1111,1e-06,0.2,6.5,1.0,0.13379522888234693,1
90,0.8375324280605814,0.0,0.0,0.0,0.8604238017860306,2.0,1.506292461987458,0.12069765895464094,0.5,0.2,1111,1e-06,0.2,6.5,0.6000000000000001,0.0527005826184194,1
91,0.6499112962654521,0.0,0.0,0.0,1.0519035965782837,2.0,1.339082810232609,0.12480962272444268,0.5,0.2,1111,1e-06,0.2,6.5,0.6000000000000001,0.06128464594838823,1
